geo|account_currency|login|paymethod|payment_name|currency|deposit|withdraw|status|conditions|min_dep|is_recommended
FI|EUR|0depnoafffieurdesk|Visa/Mastercard|V/M_Corefy_Cards_0DEP//mob//aff|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//desktop|EUR|YES|NO|PROD|0DEP+DESKTOP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//mob//noaff|EUR|YES|NO|PROD|0DEP+MOB+NOAFF|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Zimpler|Openbanking_Zimpler_Banks//zimplerlogo|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|Zimpler Välitön pankkisiirto|Openbanking_Zimpler_Banks//bankslogo|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|ADA - Cardano|ADA_Coinspaid_Cryptopay_Cardano|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|Apple pay|Applepay_Rastpay_Cards_0DEP//AFF//MC|EUR|YES|NO|PROD|0DEP+AFF|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Apple pay|Applepay_Rastpay_Cards_3DEP//MC|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Apple pay|Applepay_Rastpay_Cards_2DEP//MC//new|EUR|YES|NO|PROD|2DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|ApplePay|Applepay_Impaya_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Applepay|Applepay_Rampnow_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Applepay|Applepay_Rampnow_Cards_3DEP//LocalCur|CAD|YES|NO|PROD|3DEP|20 CAD|NO
FI|EUR|0depnoafffieurdesk|ApplePay Mastercard|Applepay_Rastpay_Cards_3DEP//Localcurr|CHF|YES|NO|PROD|3DEP|20 CHF|NO
FI|EUR|0depnoafffieurdesk|ApplePay Mastercard|Applepay_Rastpay_Cards_0DEP//aff//mob|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|NO
FI|EUR|0depnoafffieurdesk|ApplePay Mastercard|Applepay_Rastpay_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|ApplePay Visa|Applepay_Gumballpay_Cards_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|ApplePay Visa/MC|Applepay_Gumballpay_Cards_1DEP//SE|EUR|YES|NO|PROD|1DEP|20 EUR|NO
