Payment Name|Payment Methods|Currency|Deposit|Withdraw|Status|Details|Min Dep
Paysafecard|"Paysafecard_Utorg_Voucher_1DEP//colorlogo
Paysafecard_Utorg_Voucher_3DEP
Paysafecard_Utorg_Voucher_0DEP//greylogo
Paysafecard_Skrill_Voucher"|EUR|YES|NO|PROD|"0DEP+GREYLOGO
1DEP+COLORLOGO
3DEP
No Settings"|15 EUR
Per Bank Einzahlen|"Nodapay_Nodapay_Banks_0DEP//DE//FTD
Nodapay_nodapay_Banks_1DEP//DE"|EUR|YES|NO|PROD|"0DEP+DE
1DEP+DE"|20 EUR
Raiffeisenbanken|raiffeisenbanken_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP+DE|20 EUR
RapidTransfer|"Rapidtransfer_Utorg_Banks_1DEP//colorlogo
Rapidtransfer_Utorg_Banks_4DEP//DE
Rapidtransfer_Skrill_Banks
Rapidtransfer_Gate2WayVip_Banks_3DEP
Rapidtransfer_Utorg_Banks_0DEP//sofortlogo
Rapidtransfer_Utorg_Banks_0DEP//greylogo"|EUR|YES|NO|PROD|"0DEP
0DEP+GREYLOGO
1DEP+COLORLOGO
3DEP
4DEP+DE
No Settings"|20 EUR
Revolut|"Revolut_Payop_Banks
Revolut_Impaya_Banks_1DEP//DE
Revolut_Impaya_Banks"|EUR|YES|NO|PROD|"1DEP+DE
No Settings"|20 EUR
SKRL|Skrill_Utorg_Wallet_0DEP//greylogo|EUR|YES|NO|PROD|0DEP+GREYLOGO|20 EUR
SOL - Solana|SOL_Coinspaid_Cryptopay_Solana|EUR|YES|YES|PROD|No Settings|—
Skrill|"Skrill_Skrill_Wallet
Skrill_Utorg_Wallet_1DEP//colorlogo
Skrill_Utorg_Wallet_3DEP"|EUR|YES|YES|PROD|"1DEP+COLORLOGO
3DEP
No Settings"|15 EUR
Sofort|Sofort_Gate2Wayvip_Banks_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR
Sparkasse|sparkasse_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP+DE|20 EUR
SticPay|Sticpay_Sticpay_Wallet|EUR|YES|YES|PROD|No Settings|20 EUR
TON - Toncoin|TON_Coinspaid_Cryptopay_Toncoin|EUR|YES|YES|PROD|No Settings|—
TRX - Tron|TRX_Coinspaid_Cryptopay_Tron|EUR|YES|YES|PROD|No Settings|—
Trustly|"Trustly_Rizonpay_Banks_3DEP
Trustly_Rizonpay_Banks_0DEP//mob//aff
Trustly_Rizonpay_Banks"|EUR|YES|NO|PROD|"0DEP+AFF+MOB
3DEP
No Settings"|20 EUR
USDC - USD Coin|USDC_Coinspaid_Cryptopay_USD Coin|EUR|YES|YES|PROD|No Settings|—
USDT  -  Tether USD (ERC20)|USDTE_Coinspaid_Cryptopay_TetherERC20|EUR|YES|YES|PROD|No Settings|—
USDT -  Tether USD (TRC20)|USDTT_Coinspaid_Cryptopay_TetherTRC20|EUR|YES|YES|PROD|No Settings|20 EUR
Visa/Mastercard|"V/M_Corefy_Cards_1DEP
V/M_Corefy_Cards_0DEP//mob//aff
V/M_Directcorefy_Cards_0DEP//desktop
V/M_Directcorefy_Cards_0DEP//mob//noaff"|EUR|YES|NO|PROD|"0DEP+AFF+MOB
0DEP+DESKTOP
0DEP+NOAFF+MOB
1DEP"|20 EUR
Wise|Wise_Impaya_Banks|EUR|YES|NO|PROD|No Settings|20 EUR
XRP - Ripple|Ripple_Coinspaid_Cryptopay_XRP|EUR|YES|YES|PROD|No Settings|—
Zimpler|Openbanking_Zimpler_Banks//zimplerlogo|EUR|YES|NO|PROD|No Settings|20 EUR
Zimpler Välitön pankkisiirto|Openbanking_Zimpler_Banks//bankslogo|EUR|YES|NO|PROD|No Settings|20 EUR
eZeeWallet|Ezeewallet_Ezeewallet_Wallet|EUR|YES|YES|PROD|No Settings|20 EUR
paymentTest|"paymentTest//delete
paymentTest"|EUR|YES|NO|PROD|No Settings|20 EUR
paymentTestDummy|PaymentTestDummy|EUR|YES|NO|PROD|No Settings|20 EUR
