Paymethod|Payment Name|Currency|Deposit|Withdraw|Status|Details|Min Dep|Payment Methods
USDT  -  Tether USD (ERC20)|USDT  -  Tether USD (ERC20)|EUR|YES|YES|PROD||—|USDTE_Coinspaid_Cryptopay_TetherERC20
USDT -  Tether USD (TRC20)|USDT -  Tether USD (TRC20)|EUR|YES|YES|PROD||20 EUR|USDTT_Coinspaid_Cryptopay_TetherTRC20
XRP - Ripple|XRP - Ripple|EUR|YES|YES|PROD||—|Ripple_Coinspaid_Cryptopay_XRP
Apple pay|Apple pay|EUR|YES|NO|PROD|"0DEP+AFF
2DEP
3DEP"|20 EUR|"Applepay_Rastpay_Cards_0DEP//AFF//MC
Applepay_Rastpay_Cards_3DEP//MC
Applepay_Rastpay_Cards_2DEP//MC//new"
ApplePay|ApplePay|EUR|YES|NO|PROD|3DEP|20 EUR|Applepay_Impaya_Cards_3DEP
Applepay|Applepay|CAD|YES|NO|PROD|3DEP|20 EUR|"Applepay_Rampnow_Cards_3DEP
Applepay_Rampnow_Cards_3DEP//LocalCur"
ApplePay Mastercard|ApplePay Mastercard|EUR|YES|NO|PROD|"0DEP+AFF+MOB
3DEP"|10 EUR|"Applepay_Rastpay_Cards_3DEP//Localcurr
Applepay_Rastpay_Cards_0DEP//aff//mob
Applepay_Rastpay_Cards_3DEP"
ApplePay Visa|ApplePay Visa|EUR|YES|NO|PROD|1DEP|20 EUR|Applepay_Gumballpay_Cards_1DEP
ApplePay Visa/MC|ApplePay Visa/MC|EUR|YES|NO|PROD|"1DEP
3DEP"|20 EUR|"Applepay_Gumballpay_Cards_1DEP//SE
Applepay_Lancelot_Cards_3DEP"
Bank Transfer|Bank Transfer|EUR|YES|NO|PROD||20 EUR|"Openbanking_Gumballpay_Banks
Banktransfer_Payop_Banks"
BLIK2|BLIK2|PLN|YES|NO|PROD|"0DEP+AFF
0DEP+AFF+MOB
1DEP
3DEP"|20 EUR|"Blik_Gate2WayVip_Banks_1DEP
Blik_Utorg_Banks_3DEP
Blik_Utorg_Banks_0DEP//aff//nonseo
Blik_Rizonpay_Banks_0DEP//mob//affseo"
CASHlib|CASHlib|EUR|YES|NO|PROD||5 EUR|CASHlib_CASHlib_Voucher
CashtoCode|CashtoCode|AUD|YES|NO|PROD||20 EUR|Cashtocode_Cashtocode_Voucher
Commerzbank|Commerzbank|EUR|YES|NO|PROD|0DEP|20 EUR|commerzbank_nodapay_Banks_0DEP//DE
Deutsche Bank|Deutsche Bank|EUR|YES|NO|PROD|0DEP|20 EUR|deutsche_nodapay_Banks_0DEP//DE
Flexepin|Flexepin|NZD|YES|NO|PROD||20 EUR|Flexepin_Flexepin_Voucher
Google Pay|Google Pay|EUR|YES|NO|PROD|"0DEP+AFF
2DEP
3DEP"|20 EUR|"Googlepay_Rastpay_Cards_3DEP//MC
Googlepay_Rastpay_Cards_2DEP//MC//new
Googlepay_Rastpay_Cards_0DEP//AFF//MC"
GooglePay|GooglePay|EUR|YES|NO|PROD|3DEP|20 EUR|Googlepay_Impaya_Cards_3DEP
Googlepay|Googlepay|CAD|YES|NO|PROD|3DEP|20 EUR|"Googlepay_Rampnow_Cards_3DEP
Googlepay_Rampnow_Cards_3DEP//LocalCur"
GooglePay Mastercard|GooglePay Mastercard|CHF|YES|NO|PROD|"0DEP+AFF+MOB
3DEP"|20 EUR|"Googlepay_Rastpay_Cards_3DEP//Localcurr
Googlepay_Rastpay_Cards_0DEP//aff//mob"
GooglePay Visa|GooglePay Visa|EUR|YES|NO|PROD|1DEP|20 EUR|Googlepay_Gumballpay_Cards_1DEP
GooglePay Visa/MC|GooglePay Visa/MC|EUR|YES|NO|PROD|"1DEP
3DEP"|20 EUR|"Googlepay_Gumballpay_Cards_1DEP//SE
Googlepay_Lancelot_Cards_3DEP"
MBway2|MBway2|EUR|YES|NO|PROD|1DEP|20 EUR|MBway_Impaya_Banks_1DEP
N26 Bank|N26 Bank|EUR|YES|NO|PROD||20 EUR|N26_Impaya_Banks
NTLR|NTLR|EUR|YES|NO|PROD|0DEP+GREYLOGO|20 EUR|Neteller_Utorg_Wallet_0DEP//greylogo
Pay by Bank|Pay by Bank|EUR|YES|NO|PROD||20 EUR|"Paybybank_Payop_Banks_AT
Openbanking_Rillpay_Banks_EU"
paymentTest|paymentTest|EUR|YES|NO|PROD||20 EUR|"paymentTest//delete
paymentTest"
paymentTestDummy|paymentTestDummy|EUR|YES|NO|PROD||20 EUR|PaymentTestDummy
Paysafecard|Paysafecard|EUR|YES|NO|PROD|"0DEP+GREYLOGO
1DEP+COLORLOGO
3DEP"|15 EUR|"Paysafecard_Utorg_Voucher_1DEP//colorlogo
Paysafecard_Utorg_Voucher_3DEP
Paysafecard_Utorg_Voucher_0DEP//greylogo
Paysafecard_Skrill_Voucher"
Raiffeisenbanken|Raiffeisenbanken|EUR|YES|NO|PROD|0DEP|20 EUR|raiffeisenbanken_nodapay_Banks_0DEP//DE
Revolut|Revolut|EUR|YES|NO|PROD|1DEP|20 EUR|"Revolut_Payop_Banks
Revolut_Impaya_Banks_1DEP//DE
Revolut_Impaya_Banks"
SKRL|SKRL|EUR|YES|NO|PROD|0DEP+GREYLOGO|20 EUR|Skrill_Utorg_Wallet_0DEP//greylogo
Sofort|Sofort|EUR|YES|NO|PROD|3DEP|20 EUR|Sofort_Gate2Wayvip_Banks_3DEP
Sparkasse|Sparkasse|EUR|YES|NO|PROD|0DEP|20 EUR|sparkasse_nodapay_Banks_0DEP//DE
Trustly|Trustly|EUR|YES|NO|PROD|"0DEP+AFF+MOB
3DEP"|20 EUR|"Trustly_Rizonpay_Banks_3DEP
Trustly_Rizonpay_Banks_0DEP//mob//aff
Trustly_Rizonpay_Banks"
Wise|Wise|EUR|YES|NO|PROD||20 EUR|Wise_Impaya_Banks
